date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:19	730445/730445	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2011:21:18%20GMT	https://www.moneymakinghomemaker.com/enroll	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/enroll.html	(from )
15:21:20	115/115	---MCZ	200	added ('OK')	text/plain	date:Sat,%2023%20Nov%202024%2000:01:33%20GMT	https://www.moneymakinghomemaker.com/robots.txt		(from )
15:21:23	87826/87826	---M--	200	added ('OK')	image/jpeg	etag:%2268544ef8aea10809c2ae61b574a4de0f-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2147536127/images/37a8ef3-e3b5-2c65-c631-1adc124cf3be_CC_Q_Registration_Page_Mockup.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2147536127/images/37a8ef3-e3b5-2c65-c631-1adc124cf3be_CC_Q_Registration_Page_Mockup.jpg	(from https://www.moneymakinghomemaker.com/enroll)
15:21:25	2085/2085	---M--	200	added ('OK')	image/png	etag:%22683d4bdd0ced293b7fa46b227cff41a0-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155762803/settings_images/841631-87b-2813-5825-1a3fab5710e6_e1896dc9-8fd0-459e-a26a-4df11c52e630.png?v=2	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155762803/settings_images/841631-87b-2813-5825-1a3fab5710e6_e1896dc9-8fd0-459e-a26a-4df11c52e630.25e1f	(from https://www.moneymakinghomemaker.com/enroll)
15:21:25	1421/1421	---MCZ	200	added ('OK')	text/css	etag:W/%221264f7f6d36f12b590681d45fed2c37b%22	https://kajabi-app-assets.kajabi-cdn.com/assets/core-4d08d258547af8a29fc4738e545ca8e26d95e11b829a9db5a0b36d047fb91843.css	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-app-assets.kajabi-cdn.com/assets/core-4d08d258547af8a29fc4738e545ca8e26d95e11b829a9db5a0b36d047fb91843.css	(from https://www.moneymakinghomemaker.com/enroll)
15:21:26	55111/55111	---MCZ	200	added ('OK')	text/css	etag:W/%22e4c542a7f6bf6f74fdd8cdf6e8096396%22	https://use.fontawesome.com/releases/v5.8.1/css/all.css	C:/My%20Web%20Sites/moneymakinghomemaker/use.fontawesome.com/releases/v5.8.1/css/all.css	(from https://www.moneymakinghomemaker.com/enroll)
15:21:27	95496/95496	---MCZ	200	added ('OK')	text/css	etag:W/%225281f63715a3c78aeb6e03066a521032%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187877/assets/styles.css?1722726681962384	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187877/assets/stylesc28c.css	(from https://www.moneymakinghomemaker.com/enroll)
15:21:27	19/19	---M--	200	added ('OK')	text/css	etag:%229620106017b5ef6ab9ee9eda3d1ee1b0%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187877/assets/overrides.css?1722726681962384	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/themes/2158187877/assets/overridesc28c.css	(from https://www.moneymakinghomemaker.com/enroll)
15:21:28	74214/74214	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Nov%202024%2011:21:29%20GMT	https://www.moneymakinghomemaker.com/	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/index.html	(from https://www.moneymakinghomemaker.com/enroll)
15:21:33	20718/20718	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Nov%202024%2011:21:33%20GMT	https://www.moneymakinghomemaker.com/rsa.min.js	C:/My%20Web%20Sites/moneymakinghomemaker/www.moneymakinghomemaker.com/rsa.min.js	(from https://www.moneymakinghomemaker.com/enroll)
15:21:35	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/moneymakinghomemaker/www.google-analytics.com/analytics.js	(from https://www.moneymakinghomemaker.com/enroll)
15:21:37	22619/22619	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2025%20Nov%202024%2011:21:34%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?version=3.111.0&features=Symbol%2CPromise&callback=rudderAnalyticsMount	C:/My%20Web%20Sites/moneymakinghomemaker/polyfill-fastly.io/v3/polyfill.mina3f6.js	(from https://www.moneymakinghomemaker.com/enroll)
15:21:37	437310/437310	---MCZ	200	added ('OK')	text/javascript	etag:W/%22b10d9863bc9032df208e64d86bef051a%22	https://a.deadlinefunnel.com/unified/reactunified.bundle.js?userIdHash=eyJpdiI6IkJjN1hYNEtwa2F5dlhkcHcxbm9Ra3c9PSIsInZhbHVlIjoiV1N5TGZ0SlBIbmlaazZWNTNyNHhlZz09IiwibWFjIjoiNjMyYjQ2NjJmNjg2MjgwZDA4MmQ1YTM3MjY3MzllYTU4YzE2YzkyNDFiNGVhZTNjNzIxNTg3MmIxZmIzNzIyOCJ9&pageFromUrl=	C:/My%20Web%20Sites/moneymakinghomemaker/a.deadlinefunnel.com/unified/reactunified.bundle402d.js	(from https://www.moneymakinghomemaker.com/enroll)
15:21:44	244375/244375	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2025%20Nov%202024%2011:21:44%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/moneymakinghomemaker/connect.facebook.net/en_US/fbevents.js	(from https://www.moneymakinghomemaker.com/enroll)
15:21:46	54444/54444	---M--	200	added ('OK')	image/jpeg	etag:%22201c137ee39fa48843fb7133da369fb5-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2147536127/images/5c5dbd8-ea8f-a4b7-7e2c-3b1c621ea6ad_c9a6d5c6-d523-4204-b339-a5990a19d37e.png	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2147536127/images/5c5dbd8-ea8f-a4b7-7e2c-3b1c621ea6ad_c9a6d5c6-d523-4204-b339-a5990a19d37e.jpg	(from https://www.moneymakinghomemaker.com/)
15:21:46	2085/2085	---M--	200	added ('OK')	image/png	etag:%220fbfef83a12780c66c5e8bbf36c29221-1%22	https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/f0bc7d-2cd2-1e33-604c-cb8bca66145_Official_Favicon.png?v=2	C:/My%20Web%20Sites/moneymakinghomemaker/kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/themes/2155775597/settings_images/f0bc7d-2cd2-1e33-604c-cb8bca66145_Official_Favicon5e1f.png	(from https://www.moneymakinghomemaker.com/)
